implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_recall_mean,cv_macro_recall_std,cv_macro_sensitivity_mean,cv_macro_sensitivity_std,cv_macro_roc_auc_mean,cv_macro_roc_auc_std,cv_cross_entropy_mean,cv_cross_entropy_std,cv_brier_mean,cv_brier_std,cv_ece_mean,cv_ece_std,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,digits,3,uniform,euclidean,0.1036679744720459,0.31378602981567383,0.0,0.03788042068481445,0.125,0.9672838490247007,0.010072857008691975,0.9673410256409871,0.010017737720339976,0.9673410256409871,0.010017737720339976,0.9945549371960973,0.0035950892216739844,0.31531658333744517,0.19219519608158703,0.0505582607840244,0.011876913160381721,0.012464428002276609,0.002318744262853332,0.971939628182753,0.9720007770007589,0.9720007770007589,0.9917132806807242,0.44161040285582065,0.047736625514403296,0.022222222222222164
sklearn,digits,3,uniform,manhattan,0.1036679744720459,0.20906543731689453,0.0,0.04904961585998535,0.0,0.9641500818231862,0.008545699789004107,0.9642025641025258,0.008267111237011474,0.9642025641025258,0.008267111237011474,0.9936733286751454,0.004436560734656301,0.35961181884527477,0.23177499098607612,0.05496391857613638,0.013137966013920503,0.014852758279053097,0.00492403708740635,0.9774248633332251,0.9774514374514194,0.9774514374514194,0.9936909546715805,0.3430275941681895,0.04320987654320988,0.01728395061728394
sklearn,digits,3,distance,euclidean,0.1036679744720459,0.06987571716308594,0.0,0.01664447784423828,0.0,0.9665416209288178,0.009111798708085194,0.9666051282050898,0.00904755280188078,0.9666051282050898,0.00904755280188078,0.9946208320130137,0.0036010807470571206,0.31393284553518586,0.1920730597352613,0.049433743993969145,0.012203229825396499,0.017887728255896775,0.0061071674752009265,0.9737898098539498,0.9738189588189409,0.9738189588189409,0.9917476122207806,0.4405377869238664,0.04679490157748067,0.020507912016892296
sklearn,digits,3,distance,manhattan,0.1036679744720459,0.11341667175292969,0.0,0.05113720893859863,0.0,0.9665105905539839,0.008403547536023771,0.9665717948717566,0.008056460036732334,0.9665717948717566,0.008056460036732334,0.9937940400850735,0.00438734798823521,0.356698942445273,0.2313631753051635,0.052531450451373495,0.012656046320651456,0.018708082548710304,0.006436259186975348,0.9776137012858174,0.9775563325563146,0.9775563325563146,0.9937470561857898,0.3412889941151574,0.04176430171261363,0.017550857550726152
sklearn,digits,5,uniform,euclidean,0.1036679744720459,0.1233208179473877,0.0,0.045552730560302734,0.0,0.966318717401011,0.007624915131127162,0.9663820512820129,0.0075780158871778455,0.9663820512820129,0.0075780158871778455,0.9964164563484804,0.0023430592480770656,0.23216111000222442,0.1176966729108437,0.055362043887940304,0.011391312100203761,0.025136912666793125,0.007764581004619173,0.970181152130802,0.9701864801864621,0.9701864801864621,0.9935873485363185,0.36048721898518243,0.051111111111111114,0.02296296296296296
sklearn,digits,5,uniform,manhattan,0.1036679744720459,0.3502960205078125,0.002039670944213867,0.06170296669006348,0.0390625,0.9631970450012227,0.008663418083716847,0.9632076923076539,0.008578896327379102,0.9632076923076539,0.008578896327379102,0.9968962444442445,0.0031790151259807587,0.21479062086973144,0.16410541424292474,0.05720736103206223,0.01357064573044814,0.018945171694175665,0.007420344781627463,0.9794194390333999,0.9793032893032712,0.9793032893032712,0.9947051319827118,0.300561689728061,0.04192592592592593,0.022962962962962942
sklearn,digits,5,distance,euclidean,0.1036679744720459,0.0903630256652832,0.0,0.025408267974853516,0.0,0.9679121038766778,0.005925188988974269,0.9679820512820128,0.005819742409196339,0.9679820512820128,0.005819742409196339,0.9965569613253779,0.0023212515888630615,0.22869766217738094,0.1180087803545255,0.053102359823290125,0.011608297689394639,0.03112198229682317,0.003866748837725731,0.9719850182612086,0.972038332038314,0.972038332038314,0.9936636288038894,0.35824760880595335,0.04936643283471656,0.02773215574533032
sklearn,digits,5,distance,manhattan,0.1036679744720459,0.12405967712402344,0.0,0.04999852180480957,0.0,0.9655154203630036,0.009993785924311438,0.9656410256409872,0.009905028972600408,0.9656410256409872,0.009905028972600408,0.9971392867341271,0.0031129347189259764,0.20963983822985047,0.16437236409706432,0.05370746290681102,0.013101653076625112,0.02990014484345508,0.005956283753701753,0.9794194390333999,0.9793032893032712,0.9793032893032712,0.9947070987463562,0.29823990947411316,0.040238323663738,0.023402636515524808
sklearn,digits,7,uniform,euclidean,0.1036679744720459,0.11640405654907227,0.0,0.051325082778930664,0.0,0.9663195011790331,0.006760425041671943,0.9663820512820129,0.0066038579762845405,0.9663820512820129,0.0066038579762845405,0.9974503583106171,0.0018347343063566958,0.19303489519922373,0.08871464125132371,0.06296369429957527,0.009722965487881463,0.03932614214344436,0.005355619788011693,0.9682802144824973,0.9682970732970555,0.9682970732970555,0.9934602010218972,0.37553673508945906,0.056689342403628114,0.03015873015873019
sklearn,digits,7,uniform,manhattan,0.1036679744720459,0.2688167095184326,0.0,0.0678107738494873,0.125,0.9598183684786676,0.010047241041488724,0.9600051282050901,0.009964112461559538,0.9600051282050901,0.009964112461559538,0.9976472688290923,0.0018550585236041725,0.19097349705281508,0.09027293783589131,0.06253599144078045,0.012759896347916659,0.03193394223559278,0.0028479284084428616,0.9701377746794426,0.9698666393005835,0.9698666393005835,0.9956283777134894,0.26933327486155345,0.04792139077853364,0.023015873015873017
