dataset,n_neighbours,weights,distance_metric,dataset_load_time_s,cv_time_s,fit_time_s,test_time_s,fit_ram_mb,cv_macro_f1,cv_macro_recall,cv_macro_sensitivity,cv_macro_roc_auc,cv_cross_entropy,cv_brier,cv_ece,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
iris,3,uniform,euclidean,0.1108641,0.0177015,0.0002425,0.0030863,0,0.942869353,0.945238095,0.945238095,0.985897436,0.595188068,0.086772487,0.06031746,0.909502262,0.911111111,0.911111111,0.960740741,1.312913939,0.148148148,0.044444444
iris,3,uniform,manhattan,0.1108641,0.0289488,0.0001703,0.0022923,0,0.953247863,0.954761905,0.954761905,0.978754579,0.845137847,0.093121693,0.057142857,0.932659933,0.933333333,0.933333333,0.978888889,0.707901583,0.108641975,0.02962963
iris,3,distance,euclidean,0.1108641,0.0158297,0.0001541,0.0024159,0,0.942869353,0.945238095,0.945238095,0.985897436,0.582766579,0.078125851,0.057698045,0.932659933,0.933333333,0.933333333,0.962222222,1.298665768,0.134933827,0.067684844
iris,3,distance,manhattan,0.1108641,0.0164222,0.0001589,0.0023532,0,0.963504274,0.964285714,0.964285714,0.978754579,0.83375752,0.085628203,0.061287449,0.932659933,0.933333333,0.933333333,0.981851852,0.702150854,0.103890265,0.070190749
iris,5,uniform,euclidean,0.1108641,0.01548,0.0001253,0.0023067,0,0.953931624,0.955952381,0.955952381,0.996036107,0.101183187,0.064761905,0.032380952,0.909502262,0.911111111,0.911111111,0.988888889,0.147216803,0.106666667,0.017777778
iris,5,uniform,manhattan,0.1108641,0.0152749,0.000118,0.0021782,0,0.953931624,0.955952381,0.955952381,0.997396651,0.099672663,0.06552381,0.038095238,0.909502262,0.911111111,0.911111111,0.991851852,0.140823868,0.101333333,0.022222222
iris,5,distance,euclidean,0.1108641,0.0158628,0.0001221,0.0024596,0,0.953931624,0.955952381,0.955952381,0.997435897,0.093201941,0.061004354,0.040001746,0.932659933,0.933333333,0.933333333,0.98962963,0.142145704,0.100762033,0.03594384
iris,5,distance,manhattan,0.1108641,0.0158156,0.0001174,0.0024121,0,0.964188034,0.96547619,0.96547619,0.997435897,0.093702303,0.062607416,0.042397916,0.932659933,0.933333333,0.933333333,0.994074074,0.133989292,0.095022518,0.041215432
iris,7,uniform,euclidean,0.1108641,0.0153502,9.7E-05,0.0022032,0,0.973760684,0.973809524,0.973809524,0.997435897,0.105426505,0.062585034,0.066666667,0.932659933,0.933333333,0.933333333,0.995555556,0.144523109,0.097052154,0.022222222
iris,7,uniform,manhattan,0.1108641,0.0153158,0.0001158,0.0021752,0,0.953931624,0.955952381,0.955952381,0.996036107,0.109395639,0.065306122,0.057142857,0.909502262,0.911111111,0.911111111,0.994074074,0.127577406,0.091609977,0.041269841
iris,7,distance,euclidean,0.1108641,0.0196336,0.0001534,0.002555,0,0.973760684,0.973809524,0.973809524,0.997435897,0.093366633,0.056319127,0.057563009,0.932659933,0.933333333,0.933333333,0.995555556,0.136958971,0.091091047,0.052364659
iris,7,distance,manhattan,0.1108641,0.0170503,0.0001277,0.0025199,0,0.964188034,0.96547619,0.96547619,0.996075353,0.100040105,0.060570529,0.054010085,0.932659933,0.933333333,0.933333333,0.994074074,0.125355302,0.089503554,0.059860191
iris,9,uniform,euclidean,0.1108641,0.0156093,0.0001144,0.0025237,0,0.973760684,0.973809524,0.973809524,0.997435897,0.112070695,0.063727219,0.075132275,0.955357143,0.955555556,0.955555556,0.994074074,0.156414048,0.100411523,0.086419753
iris,9,uniform,manhattan,0.1108641,0.0153222,0.0001197,0.0021943,0,0.982061337,0.982142857,0.982142857,0.99799843,0.106698598,0.061140506,0.059259259,0.910714286,0.911111111,0.911111111,0.994074074,0.134090808,0.086694102,0.059259259
iris,9,distance,euclidean,0.1108641,0.0162066,0.0001098,0.0025759,0,0.973760684,0.973809524,0.973809524,0.997435897,0.097525234,0.055338387,0.060141565,0.932659933,0.933333333,0.933333333,0.994074074,0.147784721,0.095292743,0.039569257
iris,9,distance,manhattan,0.1108641,0.0160877,9.73E-05,0.0025671,0,0.964188034,0.96547619,0.96547619,0.998717949,0.094384376,0.054308016,0.056851609,0.910714286,0.911111111,0.911111111,0.995555556,0.127975432,0.08373815,0.057600858
iris,11,uniform,euclidean,0.1108641,0.0153405,0.0001308,0.0023853,0.00390625,0.952999223,0.953174603,0.953174603,0.997366417,0.131881109,0.078236915,0.080519481,0.955357143,0.955555556,0.955555556,0.995555556,0.158132798,0.099173554,0.068686869
iris,11,uniform,manhattan,0.1108641,0.01515,0.0001035,0.0021557,0,0.971804927,0.972619048,0.972619048,0.995966626,0.118723724,0.069578906,0.076190476,0.933259177,0.933333333,0.933333333,0.993333333,0.150245611,0.097704316,0.052525253
iris,11,distance,euclidean,0.1108641,0.016564,0.000103,0.0026773,0,0.973760684,0.973809524,0.973809524,0.997435897,0.108471485,0.061525046,0.078705435,0.932659933,0.933333333,0.933333333,0.997037037,0.148553809,0.093819097,0.039643433
iris,11,distance,manhattan,0.1108641,0.016265,0.0001094,0.0025943,0,0.964188034,0.96547619,0.96547619,0.997357405,0.100585967,0.057738227,0.067293314,0.910714286,0.911111111,0.911111111,0.995555556,0.139986728,0.091042392,0.042608236
iris,13,uniform,euclidean,0.1108641,0.0154093,0.0001019,0.0025305,0,0.931740482,0.934126984,0.934126984,0.993952846,0.149234837,0.089828121,0.065934066,0.933259177,0.933333333,0.933333333,0.993333333,0.177387511,0.1078238,0.051282051
iris,13,uniform,manhattan,0.1108641,0.0151838,0.0001154,0.0022557,0,0.942620713,0.943650794,0.943650794,0.995906157,0.131839019,0.07754297,0.058608059,0.933259177,0.933333333,0.933333333,0.993333333,0.159229876,0.096778435,0.071794872
iris,13,distance,euclidean,0.1108641,0.0168104,0.0001109,0.0027113,0,0.953125763,0.954761905,0.954761905,0.997435897,0.118659202,0.067135751,0.075998609,0.932659933,0.933333333,0.933333333,0.994074074,0.163464418,0.10029573,0.045751019
iris,13,distance,manhattan,0.1108641,0.0164378,0.0001023,0.0026768,0,0.953931624,0.955952381,0.955952381,0.998717949,0.106643755,0.06023742,0.077360298,0.910714286,0.911111111,0.911111111,0.995555556,0.1466713,0.091000538,0.075763636
