implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_recall_mean,cv_macro_recall_std,cv_macro_sensitivity_mean,cv_macro_sensitivity_std,cv_macro_roc_auc_mean,cv_macro_roc_auc_std,cv_cross_entropy_mean,cv_cross_entropy_std,cv_brier_mean,cv_brier_std,cv_ece_mean,cv_ece_std,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,agaricus-lepiota.data,3,uniform,euclidean,0.050815582275390625,0.629619836807251,0.0,0.10605692863464355,-0.00390625,0.9992296561937651,0.001193452647125012,0.9992025518341292,0.0012354013863500883,0.9992025518341292,0.0012354013863500883,1.0,0.0,0.001157030632878489,0.0013631847319134317,0.0008547271734338708,0.0010864961618890117,0.0004615779396379858,0.0006764447490029069,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,-1.0000889005818406e-12,0.0,0.0
sklearn,agaricus-lepiota.data,3,uniform,manhattan,0.050815582275390625,0.6170177459716797,0.0,0.17705678939819336,0.0,0.9993837037032021,0.001232592592592585,0.999362041467303,0.0012759170653907858,0.999362041467303,0.0012759170653907858,1.0,0.0,0.0006760690997175171,0.001352138201435212,0.000547008547008547,0.001094017094017094,0.00041025641025641023,0.0008205128205128204,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,-1.0000889005818406e-12,0.0,0.0
sklearn,agaricus-lepiota.data,3,distance,euclidean,0.050815582275390625,0.16567087173461914,0.0,0.046477556228637695,-0.0078125,0.9998459524900614,0.00030809501887381076,0.9998405103668245,0.00031897926634769644,0.9998405103668245,0.00031897926634769644,1.0,0.0,0.0007240228454053197,0.0007143137976735718,0.0004454436258481632,0.0004620610689337361,0.0005626144541651968,0.0005449395863354384,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,-1.0000889005818406e-12,0.0,0.0
sklearn,agaricus-lepiota.data,3,distance,manhattan,0.050815582275390625,0.5244624614715576,0.0,0.1509714126586914,0.046875,0.9999999999994984,0.0,0.9999999999999984,0.0,0.9999999999999984,0.0,1.0,0.0,0.00017520639775334867,0.0003504127975068752,8.113985893676412e-05,0.00016227971787352824,0.00014978130845345932,0.0002995626169069187,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,-1.0000889005818406e-12,0.0,0.0
sklearn,agaricus-lepiota.data,5,uniform,euclidean,0.050815582275390625,0.38929128646850586,0.002003192901611328,0.10037660598754883,-0.00390625,0.9993837037032021,0.001232592592592585,0.999362041467303,0.0012759170653907858,0.999362041467303,0.0012759170653907858,1.0,0.0,0.0016481281866877646,0.002224156887380359,0.0011077112571800797,0.001674920635500708,0.0008000473737194292,0.0007435406998733322,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0004516733375102397,0.00024615384615384614,0.00036923076923076916
sklearn,agaricus-lepiota.data,5,uniform,manhattan,0.050815582275390625,0.6526994705200195,0.0,0.16791701316833496,0.0,0.9993837037032021,0.001232592592592585,0.999362041467303,0.0012759170653907858,0.999362041467303,0.0012759170653907858,1.0,0.0,0.0009487961597961128,0.0016450517161071588,0.0006769230769230769,0.0012623637075651038,0.0004615384615384615,0.0007016464154456234,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,-1.0000889005818406e-12,0.0,0.0
sklearn,agaricus-lepiota.data,5,distance,euclidean,0.050815582275390625,0.16229462623596191,0.0010023117065429688,0.0488286018371582,-0.0078125,0.9995378048927224,0.0009243902135519288,0.9995215311004768,0.0009569377990430892,0.9995215311004768,0.0009569377990430892,1.0,0.0,0.0010181451106246358,0.0011665271125147346,0.0006230796708154324,0.0008371839487730215,0.000550290402368485,0.0004217835904484012,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.00033250752518669687,0.00015144331069111587,0.00028503953670199747
sklearn,agaricus-lepiota.data,5,distance,manhattan,0.050815582275390625,0.5547194480895996,0.0,0.16321015357971191,0.0,0.9999999999994984,0.0,0.9999999999999984,0.0,0.9999999999999984,0.0,1.0,0.0,0.000297941818713922,0.0004661781015712902,0.00014365352525947279,0.00025476039991133086,0.00025157940872552986,0.0003828130413482608,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,-1.0000889005818406e-12,0.0,0.0
sklearn,agaricus-lepiota.data,7,uniform,euclidean,0.050815582275390625,0.38799619674682617,0.0,0.10623311996459961,-0.00390625,0.9992295835182748,0.0015408329624469806,0.9992025518341292,0.0015948963317384823,0.9992025518341292,0.0015948963317384823,1.0,0.0,0.002581917049760032,0.0029505541973760528,0.0016641227462738516,0.0021644075385554577,0.0013407777749579134,0.0009256165745277429,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.001112825221131928,0.0004772370486656201,0.0009670329670329671
sklearn,agaricus-lepiota.data,7,uniform,manhattan,0.050815582275390625,0.631678581237793,0.0020036697387695312,0.14975881576538086,-0.00390625,0.9993837037032021,0.001232592592592585,0.999362041467303,0.0012759170653907858,0.999362041467303,0.0012759170653907858,1.0,0.0,0.0013635739380163812,0.0021043321045371823,0.000923081757129926,0.0015983077656092147,0.0005934235125921038,0.0006541798502657483,0.9999999999994987,0.9999999999999987,0.9999999999999987,1.0,0.0007160414695780839,0.0003265306122448979,0.0006153846153846154
