dataset,n_neighbours,weights,distance_metric,dataset_load_time_s,cv_time_s,fit_time_s,test_time_s,fit_ram_mb,cv_macro_f1,cv_macro_recall,cv_macro_sensitivity,cv_macro_roc_auc,cv_cross_entropy,cv_brier,cv_ece,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
iris,3,uniform,euclidean,0.1156466999091208,0.02312090015038848,0.00035779993049800396,0.0025647999718785286,0.0,0.9510546308785652,0.9657142857141452,0.9657142857141452,0.9824400871459696,0.7631477471226958,0.09444444444444444,0.05833333333333335,0.9326599326593422,0.93333333333324,0.93333333333324,0.9933333333333333,0.11378733005417369,0.08148148148148149,0.011111111111111108
iris,3,uniform,manhattan,0.1156466999091208,0.021203199867159128,0.00015110010281205177,0.0015790998004376888,0.0,0.9421847941449526,0.9567195767194375,0.9567195767194375,0.986512086316008,0.5343050631298987,0.08333333333333333,0.025000000000000005,0.9665831244772654,0.96666666666657,0.96666666666657,0.9983333333333334,0.07716692043197003,0.05185185185185186,0.011111111111111117
iris,3,distance,euclidean,0.1156466999091208,0.023154100170359015,0.0001501999795436859,0.001777400029823184,0.0,0.9510546308785652,0.9657142857141452,0.9657142857141452,0.9819130615209047,0.754029827016631,0.08923505155027785,0.06646240264004336,0.9665831244772654,0.96666666666657,0.96666666666657,1.0,0.09300490985650489,0.06218709514465548,0.01875211430721846
iris,3,distance,manhattan,0.1156466999091208,0.0215104001108557,0.00015680002979934216,0.0022366000339388847,0.0,0.9421847941449526,0.9567195767194375,0.9567195767194375,0.9843251374623924,0.5353320824501617,0.08653830150121433,0.041509819822231564,0.9665831244772654,0.96666666666657,0.96666666666657,1.0,0.0709600483660984,0.04678441656926786,0.0030175921793350823
iris,5,uniform,euclidean,0.1156466999091208,0.02172169997356832,0.00014150002971291542,0.002492800122126937,0.0,0.9411417768480692,0.9590476190474793,0.9590476190474793,0.986512086316008,0.5659763068081103,0.09933333333333334,0.07500000000000001,0.9326599326593422,0.93333333333324,0.93333333333324,0.9933333333333333,0.11960672954417469,0.08266666666666668,0.006666666666666665
iris,5,uniform,manhattan,0.1156466999091208,0.021467900136485696,0.00014030002057552338,0.0015632999129593372,0.0,0.9320009761283219,0.94793650793637,0.94793650793637,0.9843251374623925,0.565739644520401,0.10200000000000001,0.05500000000000001,0.9326599326593422,0.93333333333324,0.93333333333324,0.9966666666666667,0.1025792087519972,0.07200000000000001,0.019999999999999997
iris,5,distance,euclidean,0.1156466999091208,0.03128160000778735,0.0001574999187141657,0.0025185998529195786,0.0,0.9411417768480692,0.9590476190474793,0.9590476190474793,0.9854580350658783,0.5549834626880494,0.09215554992098543,0.08074349315039728,0.9665831244772654,0.96666666666657,0.96666666666657,1.0,0.10209564976492956,0.06685957016192096,0.033041770605298046
iris,5,distance,manhattan,0.1156466999091208,0.02988260006532073,0.00016360008157789707,0.0028056998271495104,0.0,0.9336195902856318,0.9471957671956295,0.9471957671956295,0.9832710862122628,0.5588656077651514,0.09806736293719856,0.05492528542785513,0.9665831244772654,0.96666666666657,0.96666666666657,0.9966666666666667,0.0900154379542093,0.060267900404399506,0.02279477102882419
iris,7,uniform,euclidean,0.1156466999091208,0.029509800020605326,0.00014020013622939587,0.0028540000785142183,0.0,0.9254864368893221,0.9405291005289633,0.9405291005289633,0.9923851021890236,0.15468086476873455,0.1,0.07380952380952381,0.9665831244772654,0.96666666666657,0.96666666666657,1.0,0.10339753163160384,0.061224489795918366,0.04285714285714286
iris,7,uniform,manhattan,0.1156466999091208,0.021905099973082542,0.00017799995839595795,0.0021174000576138496,0.0,0.9336195902856318,0.9471957671956295,0.9471957671956295,0.99246394854238,0.1522800426658822,0.09931972789115648,0.05714285714285714,0.9665831244772654,0.96666666666657,0.96666666666657,0.9983333333333334,0.09312081964313104,0.058503401360544216,0.03333333333333333
iris,7,distance,euclidean,0.1156466999091208,0.02312040003016591,0.00015709991566836834,0.00391170009970665,0.0,0.9254864368893221,0.9405291005289633,0.9405291005289633,0.9934785766158315,0.14493052667019352,0.09389927278971236,0.07093262045339188,0.9999999999994,0.9999999999999,0.9999999999999,1.0,0.09226466833529708,0.05278857368449138,0.07350364848083717
iris,7,distance,manhattan,0.1156466999091208,0.025398500030860305,0.00016959989443421364,0.0032099001109600067,0.0,0.9336195902856318,0.9471957671956295,0.9471957671956295,0.9935179997925097,0.1470807251934965,0.0950535399988905,0.06251676070052035,0.9999999999994,0.9999999999999,0.9999999999999,1.0,0.08425976172946922,0.051623740711433184,0.06568195251256805
iris,9,uniform,euclidean,0.1156466999091208,0.021301099797710776,0.00014970009215176105,0.0016973998863250017,0.0,0.9099707438524807,0.9310052910051546,0.9310052910051546,0.9935179997925097,0.17043060586411143,0.1094650205761317,0.06666666666666667,0.9665831244772654,0.96666666666657,0.96666666666657,0.9983333333333334,0.1038138408333678,0.06090534979423869,0.044444444444444446
iris,9,uniform,manhattan,0.1156466999091208,0.025130299851298332,0.0001501000951975584,0.0017607000190764666,0.0,0.9265649165642934,0.942433862433725,0.942433862433725,0.9967787114845938,0.1448154239635725,0.09238683127572017,0.06203703703703704,0.9333333333327399,0.93333333333324,0.93333333333324,0.9933333333333333,0.11732934443694829,0.07407407407407408,0.029629629629629638
iris,9,distance,euclidean,0.1156466999091208,0.02955510001629591,0.0001688001211732626,0.004509800113737583,0.0,0.9336195902856318,0.9471957671956295,0.9471957671956295,0.9945720510426392,0.15423869164980705,0.09833486525377785,0.06925390746701984,0.9999999999994,0.9999999999999,0.9999999999999,1.0,0.09413634425644453,0.05328097965776534,0.07546275173156416
iris,9,distance,manhattan,0.1156466999091208,0.028693099971860647,0.00021999981254339218,0.004023300018161535,0.0,0.9336195902856318,0.9471957671956295,0.9471957671956295,0.9967589998962548,0.1375768427722158,0.0879219453694013,0.06797481652943814,0.9665831244772654,0.96666666666657,0.96666666666657,0.9966666666666667,0.10314358811760713,0.06344309062046195,0.04570336867538762
iris,11,uniform,euclidean,0.1156466999091208,0.028877600096166134,0.00017530005425214767,0.0024416998494416475,0.0,0.9185359477118015,0.9405291005289627,0.9405291005289627,0.9967392883079157,0.17555357786516546,0.11019283746556474,0.08181818181818182,0.9665831244772654,0.96666666666657,0.96666666666657,0.9983333333333334,0.11933897588004701,0.0628099173553719,0.06666666666666664
iris,11,uniform,manhattan,0.1156466999091208,0.021436800016090274,0.0001321001909673214,0.0017460000235587358,0.0,0.925217266393118,0.9452910052908671,0.9452910052908671,0.9967787114845938,0.15324122275139285,0.09504132231404958,0.07424242424242423,0.9333333333327399,0.93333333333324,0.93333333333324,0.9933333333333333,0.12933906110801804,0.07768595041322314,0.03939393939393928
iris,11,distance,euclidean,0.1156466999091208,0.0202070998493582,0.0001450998242944479,0.002259200206026435,0.0,0.9336195902856318,0.9471957671956295,0.9471957671956295,0.9956655254694471,0.15534598714214734,0.09628619456950145,0.07903410491959321,0.9999999999994,0.9999999999999,0.9999999999999,1.0,0.10714168975114162,0.05619105169961212,0.08756671167054578
