implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_recall_mean,cv_macro_recall_std,cv_macro_sensitivity_mean,cv_macro_sensitivity_std,cv_macro_roc_auc_mean,cv_macro_roc_auc_std,cv_cross_entropy_mean,cv_cross_entropy_std,cv_brier_mean,cv_brier_std,cv_ece_mean,cv_ece_std,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,zoo.csv,3,uniform,euclidean,0.002992391586303711,0.23020076751708984,0.0,0.01120901107788086,0.0,0.8561327561317975,0.12082636341796718,0.873809523808984,0.10637289477939334,0.873809523808984,0.10637289477939334,0.989010989010989,0.0,0.8869897433585644,1.5461340556041463,0.10793650793650796,0.07993446547310586,0.06190476190476191,0.024281045302822785,0.9413919413910572,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.09703725140375954,0.05734767025089607,0.03225806451612903
sklearn,zoo.csv,3,uniform,manhattan,0.002992391586303711,0.04338192939758301,0.0,0.005041837692260742,0.0,0.8873015873005847,0.1086345309983814,0.9023809523803841,0.09770611680316206,0.9023809523803841,0.09770611680316206,0.9945054945054945,0.0,0.8770876407791581,1.550427878467884,0.1015873015873016,0.07684900594863622,0.06190476190476191,0.024281045302822785,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.04851862570137973,0.035842293906810034,0.010752688172043008
sklearn,zoo.csv,3,distance,euclidean,0.002992391586303711,0.0913846492767334,0.002134084701538086,0.015072345733642578,0.0,0.8492063492054118,0.12757797649133024,0.8595238095232911,0.12103109549646743,0.8595238095232911,0.12103109549646743,0.989010989010989,0.0,0.8522549476858842,1.5480187790590485,0.08580156762561438,0.07530010802822387,0.05475940898840832,0.025161008875883087,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.08211629855696383,0.046299750395876235,0.047488852880627944
sklearn,zoo.csv,3,distance,manhattan,0.002992391586303711,0.07507061958312988,0.0,0.01620936393737793,0.0,0.9063492063481832,0.11797399476847521,0.9166666666660912,0.10540925533884019,0.9166666666660912,0.10540925533884019,0.989010989010989,0.0,0.8418569206726814,1.5530477881609726,0.07996117820501233,0.07977746406059097,0.056581599714606544,0.02992860887263133,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.04235142141572059,0.030659056048470714,0.028538444422601752
sklearn,zoo.csv,5,uniform,euclidean,0.002992391586303711,0.06582403182983398,0.0,0.003999233245849609,0.0,0.7542279942271851,0.08293166190853066,0.7785714285709842,0.07514158970501221,0.7785714285709842,0.07514158970501221,0.9780219780219781,0.0,0.6069995905305006,0.7812306824079455,0.15085714285714288,0.056174654754032056,0.06285714285714285,0.019378085666072187,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9963875205254515,0.14190748717863394,0.08516129032258066,0.058064516129032254
sklearn,zoo.csv,5,uniform,manhattan,0.002992391586303711,0.04358410835266113,0.0,0.006305217742919922,0.0,0.7806349206340778,0.10906228962553408,0.8119047619042841,0.09047619047613979,0.8119047619042841,0.09047619047613979,0.989010989010989,0.0,0.5871953853717164,0.7650201344540111,0.14057142857142857,0.04551384628969115,0.0657142857142857,0.017142857142857137,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9987684729064039,0.1195479007089986,0.07483870967741936,0.03870967741935484
sklearn,zoo.csv,5,distance,euclidean,0.002992391586303711,0.07664942741394043,0.0,0.013586044311523438,0.0,0.8492063492054118,0.12757797649133024,0.8595238095232911,0.12103109549646743,0.8595238095232911,0.12103109549646743,0.9780219780219781,0.0,0.5231469717071321,0.7933861377434557,0.09405151019680345,0.04964881305838975,0.05881673779741438,0.019761359986110495,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.1129955059177605,0.06472205182318261,0.03686741459934236
sklearn,zoo.csv,5,distance,manhattan,0.002992391586303711,0.053728580474853516,0.0,0.007963180541992188,0.0,0.8682539682530054,0.11219426696539174,0.8880952380946912,0.09805362039027149,0.8880952380946912,0.09805362039027149,0.989010989010989,0.0,0.49479991201577916,0.7879962733108133,0.0786496187152934,0.0513212478915345,0.051856069581434114,0.02558081608872386,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.08416394789676035,0.05284359891537558,0.03955890008743553
sklearn,zoo.csv,7,uniform,euclidean,0.002992391586303711,0.05841875076293945,0.0,0.010120153427124023,0.0,0.592284382283782,0.1398074475370564,0.6206349206346056,0.13563303982260494,0.6206349206346056,0.13563303982260494,0.9780219780219781,0.0,0.6867490028084692,0.778766623719794,0.1947521865889213,0.06525404003982639,0.1204081632653061,0.031878570105741445,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9963054187192117,0.19329992602695797,0.11191573403554973,0.08294930875576037
sklearn,zoo.csv,7,uniform,manhattan,0.002992391586303711,0.029550552368164062,0.0,0.014574766159057617,0.0,0.5645887445881919,0.1483411898289074,0.608730158729864,0.11980184361439522,0.608730158729864,0.11980184361439522,0.9805402930402931,0.0,0.3026192346484443,0.096456628298359,0.18367346938775508,0.06479915676645151,0.10408163265306122,0.03729727935203483,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9963054187192117,0.18153724494347326,0.10401579986833445,0.10599078341013826
sklearn,zoo.csv,7,distance,euclidean,0.002992391586303711,0.057567596435546875,0.0,0.012166023254394531,0.0,0.8466089466080102,0.13039943443821156,0.8595238095232911,0.12103109549646743,0.8595238095232911,0.12103109549646743,0.9780219780219781,0.0,0.5584179826081261,0.7879993042857624,0.10650866656741328,0.0459324988940211,0.08149028122012877,0.01112550347956305,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.1527116403215761,0.08340098298311932,0.07628215608737425
sklearn,zoo.csv,7,distance,manhattan,0.002992391586303711,0.06324505805969238,0.0,0.01240682601928711,0.0,0.8682539682530054,0.11219426696539174,0.8880952380946912,0.09805362039027149,0.8880952380946912,0.09805362039027149,0.989010989010989,0.0,0.16103674116868372,0.06696993182948978,0.08642902829507723,0.042169168391876406,0.05491154943880796,0.021703549162916776,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.1169925214065148,0.06307269699487233,0.055989390445362934
sklearn,zoo.csv,9,uniform,euclidean,0.002992391586303711,0.050264596939086914,0.0,0.01428985595703125,0.0,0.5477742892023388,0.07272052263063435,0.608571428571134,0.04968380747911735,0.608571428571134,0.04968380747911735,0.9780219780219781,0.0,0.3898531882531033,0.08607697834902925,0.21128747795414463,0.04799511829910309,0.12380952380952379,0.028659476325821887,0.7731379731372577,0.809523809523493,0.809523809523493,0.9963054187192117,0.2261148825828654,0.12664277180406214,0.05017921146953405
sklearn,zoo.csv,9,uniform,manhattan,0.002992391586303711,0.04217982292175293,0.0,0.0035212039947509766,0.0,0.6071428571422584,0.12674978376517423,0.675238095237734,0.1064219130759832,0.675238095237734,0.1064219130759832,0.978021978021978,0.0,0.355437843652763,0.08414512423929651,0.20070546737213407,0.05295001430364619,0.12063492063492062,0.021531206295635773,0.7714285714278594,0.809523809523493,0.809523809523493,0.9950738916256158,0.23919440219920943,0.1346077260055755,0.07526881720430108
sklearn,zoo.csv,9,distance,euclidean,0.002992391586303711,0.0650327205657959,0.0,0.010449886322021484,0.0,0.7996003995995344,0.10819771562326673,0.8261904761899912,0.0986300722723575,0.8261904761899912,0.0986300722723575,0.9780219780219781,0.0,0.2218046072512218,0.05563601044174749,0.11324295500801393,0.027669423494072302,0.08523643203928177,0.01297796778088659,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.17875774881195658,0.09459940502119389,0.08450656348888005
